,lat,lon,marker-color
0,37.74574,-122.42685,#000080
1,37.74574,-122.42685,#000080
2,37.74967,-122.42728999999999,#000080
3,37.74574,-122.42685,#000080
4,37.74574,-122.42685,#000080
5,37.74574,-122.42685,#000080
6,37.75233000000001,-122.43419,#000080
7,37.75696,-122.43463,#000080
8,37.74574,-122.42685,#000080
9,37.74574,-122.42685,#000080
10,37.76122,-122.43501,#000080
11,37.74574,-122.42685,#000080
12,37.76302,-122.43459,#000080
13,37.76559,-122.43123,#000080
14,37.74574,-122.42685,#000080
15,37.76521000000001,-122.42878,#000080
16,37.74574,-122.42685,#000080
17,37.74574,-122.42685,#000080
18,37.761319999999984,-122.42849,#000080
19,37.76107,-122.43259,#000080
20,37.74574,-122.42685,#000080
21,37.74574,-122.42685,#000080
22,37.76158999999999,-122.43509000000002,#000080
23,37.76286999999999,-122.43471,#000080
24,37.74574,-122.42685,#000080
25,37.765690000000006,-122.43107,#000080
26,37.74574,-122.42685,#000080
27,37.76615999999999,-122.42819000000001,#000080
28,37.74574,-122.42685,#000080
29,37.74574,-122.42685,#000080
30,37.76797,-122.42503,#000080
31,37.74574,-122.42685,#000080
32,37.76812,-122.42282,#000080
33,37.74574,-122.42685,#000080
34,37.76519500000198,-122.42199999998182,#000080
35,37.74574,-122.42685,#000080
36,37.764720000000004,-122.42618,#000080
37,37.74574,-122.42685,#000080
38,37.76431,-122.4326,#000080
39,37.74574,-122.42685,#000080
40,37.76743999999999,-122.43402,#000080
41,37.74574,-122.42685,#000080
42,37.767649999999996,-122.43825,#000080
43,37.74574,-122.42685,#000080
44,37.77098,-122.4404,#000080
45,37.74574,-122.42685,#000080
46,37.772590000000015,-122.44071,#000080
47,37.74574,-122.42685,#000080
48,37.77360999999999,-122.44112,#000080
49,37.74574,-122.42685,#000080
50,37.77322,-122.44452999999999,#000080
51,37.74574,-122.42685,#000080
52,37.77215999999999,-122.45266,#000080
53,37.74574,-122.42685,#000080
54,37.77467999999999,-122.45551,#000080
55,37.74574,-122.42685,#000080
56,37.77360999999999,-122.46411,#000080
57,37.74574,-122.42685,#000080
58,37.773149999999994,-122.4717,#000080
59,37.74574,-122.42685,#000080
60,37.77272999999999,-122.48091,#000080
61,37.74574,-122.42685,#000080
62,37.772580000000005,-122.4845,#000080
63,37.74574,-122.42685,#000080
64,37.77228000000001,-122.49061999999999,#000080
65,37.74574,-122.42685,#000080
66,37.77405,-122.49308,#000080
67,37.74574,-122.42685,#000080
68,37.77402,-122.49402,#000080
69,37.74574,-122.42685,#000080
70,37.7736,-122.49289000000002,#000080
71,37.74574,-122.42685,#000080
72,37.77364000000001,-122.49289000000002,#000080
73,37.74574,-122.42685,#000080
74,37.77365,-122.49289000000002,#000080
75,37.773510000000314,-122.49287499999663,#000080
76,37.74574,-122.42685,#000080
77,37.772339999999986,-122.48921,#000080
78,37.74574,-122.42685,#000080
79,37.77270000000001,-122.48111,#000080
80,37.74574,-122.42685,#000080
81,37.773070000000004,-122.4725,#000080
82,37.74574,-122.42685,#000080
83,37.77328,-122.46781000000001,#000080
84,37.74574,-122.42685,#000080
85,37.77416,-122.45944000000001,#000080
86,37.74574,-122.42685,#000080
87,37.774660000000004,-122.45522,#000080
88,37.74574,-122.42685,#000080
89,37.771370000000005,-122.45324000000001,#000080
90,37.74574,-122.42685,#000080
91,37.77203999999999,-122.44618,#000080
92,37.74574,-122.42685,#000080
93,37.77298,-122.43889,#000080
94,37.74574,-122.42685,#000080
95,37.77397,-122.43115000000002,#000080
96,37.74574,-122.42685,#000080
97,37.774379999999994,-122.42756000000001,#000080
98,37.74574,-122.42685,#000080
99,37.77456,-122.42585,#000080
100,37.74574,-122.42685,#000080
101,37.77467999999999,-122.42421,#000080
102,37.74574,-122.42685,#000080
103,37.77201,-122.42359000000002,#000080
104,37.74574,-122.42685,#000080
105,37.76941,-122.41270000000002,#000080
